time_s,position_m
0.0,0.0
0.04522613065326633,0.0020454028938663165
0.09045226130653267,0.008181611575465266
0.135678391959799,0.01840862604479685
0.18090452261306533,0.03272644630186106
0.22613065326633167,0.051135072346657914
0.271356783919598,0.0736345041791874
0.31658291457286436,0.10022474179944953
0.36180904522613067,0.13090578520744425
0.40703517587939697,0.16567763440317163
0.45226130653266333,0.20454028938663166
0.4974874371859297,0.24749375015782435
0.542713567839196,0.2945380167167496
0.5879396984924623,0.3456730890634075
0.6331658291457287,0.4008989671977981
0.678391959798995,0.4602156511199213
0.7236180904522613,0.523623140829777
0.7688442211055276,0.5911214363273655
0.8140703517587939,0.6627105376126865
0.8592964824120604,0.7383904446857403
0.9045226130653267,0.8181611575465266
0.949748743718593,0.9020226761950456
0.9949748743718594,0.9899750006312974
1.0402010050251256,1.0820181308552814
1.085427135678392,1.1781520668669985
1.1306532663316584,1.278376808666448
1.1758793969849246,1.38269235625363
1.221105527638191,1.4910987096285448
1.2663316582914574,1.6035958687911924
1.3115577889447236,1.7201838337415722
1.35678391959799,1.8408626044796852
1.4020100502512562,1.9656321810055302
1.4472361809045227,2.094492563319108
1.492462311557789,2.2274437514204193
1.5376884422110553,2.364485745309462
1.5829145728643217,2.505618544986238
1.6281407035175879,2.650842150450746
1.6733668341708543,2.8001565617029875
1.7185929648241207,2.9535617787429613
1.763819095477387,3.1110578015706674
1.8090452261306533,3.2726446301861065
1.8542713567839197,3.438322264589279
1.899497487437186,3.6080907047801825
1.9447236180904524,3.7819499507588197
1.9899497487437188,3.9599000025251896
2.035175879396985,4.140703517587941
2.080402010050251,4.321608040201005
2.1256281407035176,4.50251256281407
2.170854271356784,4.683417085427136
2.2160804020100504,4.864321608040202
2.261306532663317,5.045226130653267
2.306532663316583,5.226130653266331
2.351758793969849,5.407035175879397
2.3969849246231156,5.5879396984924625
2.442211055276382,5.768844221105528
2.4874371859296485,5.949748743718594
2.532663316582915,6.1306532663316595
2.577889447236181,6.311557788944723
2.6231155778894473,6.492462311557789
2.6683417085427137,6.673366834170855
2.71356783919598,6.85427135678392
2.7587939698492465,7.035175879396986
2.8040201005025125,7.21608040201005
2.849246231155779,7.396984924623116
2.8944723618090453,7.577889447236181
2.9396984924623117,7.758793969849247
2.984924623115578,7.939698492462313
3.030150753768844,8.120603015075377
3.0753768844221105,8.301507537688442
3.120603015075377,8.482412060301508
3.1658291457286434,8.663316582914574
3.21105527638191,8.84422110552764
3.2562814070351758,9.025125628140703
3.301507537688442,9.206030150753769
3.3467336683417086,9.386934673366834
3.391959798994975,9.5678391959799
3.4371859296482414,9.748743718592966
3.482412060301508,9.929648241206031
3.527638190954774,10.110552763819095
3.5728643216080402,10.291457286432161
3.6180904522613067,10.472361809045227
3.663316582914573,10.653266331658292
3.7085427135678395,10.834170854271358
3.7537688442211055,11.015075376884422
3.798994974874372,11.195979899497488
3.8442211055276383,11.376884422110553
3.8894472361809047,11.557788944723619
3.934673366834171,11.738693467336685
3.9798994974874375,11.91959798994975
4.025125628140704,12.100502512562816
4.07035175879397,12.281407035175882
4.115577889447236,12.462311557788944
4.160804020100502,12.64321608040201
4.206030150753769,12.824120603015075
4.251256281407035,13.00502512562814
4.296482412060302,13.185929648241206
4.341708542713568,13.366834170854272
4.386934673366834,13.547738693467338
4.432160804020101,13.728643216080403
4.477386934673367,13.909547738693469
4.522613065326634,14.090452261306535
4.5678391959799,14.2713567839196
4.613065326633166,14.452261306532662
4.658291457286432,14.633165829145728
4.703517587939698,14.814070351758794
4.748743718592965,14.99497487437186
4.793969849246231,15.175879396984925
4.839195979899498,15.35678391959799
4.884422110552764,15.537688442211056
4.9296482412060305,15.718592964824122
4.974874371859297,15.899497487437188
5.020100502512563,16.080199994949623
5.06532663316583,16.25917274816293
5.110552763819095,16.43610009848236
5.155778894472362,16.61098204590793
5.201005025125628,16.783818590439637
5.2462311557788945,16.954609732077472
5.291457286432161,17.123355470821444
5.336683417085427,17.29005580667155
5.381909547738694,17.45471073962779
5.42713567839196,17.61732026969016
5.472361809045227,17.777884396858667
5.517587939698493,17.936403121133306
5.562814070351759,18.092876442514076
5.608040201005025,18.247304361000985
5.653266331658291,18.399686876594025
5.698492462311558,18.5500239892932
5.743718592964824,18.698315699098508
5.788944723618091,18.84456200600995
5.834170854271357,18.988762910027525
5.8793969849246235,19.130918411151235
5.92462311557789,19.27102850938108
5.969849246231156,19.409093204717053
6.015075376884423,19.545112497159163
6.060301507537688,19.679086386707407
6.105527638190955,19.811014873361785
6.150753768844221,19.940897957122296
6.1959798994974875,20.06873563798894
6.241206030150754,20.194527915961718
6.28643216080402,20.31827479104063
6.331658291457287,20.439976263225677
6.376884422110553,20.559632332516856
6.42211055276382,20.67724299891417
6.467336683417086,20.792808262417616
6.5125628140703515,20.906328123027194
6.557788944723618,21.01780258074291
6.603015075376884,21.12723163556476
6.648241206030151,21.23461528749274
6.693467336683417,21.339953536526856
6.738693467336684,21.443246382667105
6.78391959798995,21.544493825913488
6.8291457286432165,21.643695866266004
6.874371859296483,21.740852503724653
6.919597989949749,21.83596373828944
6.964824120603016,21.929029569960356
7.010050251256281,22.020049998737406
7.055276381909548,22.10902502462059
7.100502512562814,22.19595464760991
7.1457286432160805,22.280838867705363
7.190954773869347,22.363677684906946
7.236180904522613,22.444471099214667
7.28140703517588,22.52321911062852
7.326633165829146,22.599921719148508
7.371859296482413,22.67457892477463
7.417085427135679,22.747190727506883
7.462311557788945,22.81775712734527
7.507537688442211,22.88627812428979
7.552763819095477,22.952753718340446
